UniProt ID,No. of Valid Modified Peptides,No. of Significant Modified Peptides (P-value),No. of Significant Modified Peptides (Adj. P-value),No. of Valid Peptides,No. of Significant Peptides (P-value),No. of Significant Peptides (Adj. P-value),No. of Valid Cut Sites,No. of Significant Cut Sites (P-value),No. of Significant Cut Sites (Adj. P-value),Retained,Perturbed,S/T Avg,P-Value
P41807,24,1,0,24,1,0,23,1,0,TRUE,FALSE,0.42389107,0.000125053
Q12284,1,1,1,1,1,1,1,1,1,FALSE,FALSE,0.097136886,2.19E-05
P38431,21,1,1,21,1,1,21,1,1,TRUE,FALSE,0.296213773,7.49E-05
P11632,8,0,1,8,0,1,7,0,1,TRUE,FALSE,0.240364318,0.000870402
P32178,15,1,0,15,1,0,14,1,0,TRUE,FALSE,0.654764572,0.004051219
Q12178,9,1,1,9,1,1,9,1,1,TRUE,FALSE,0.375221532,0.01016708
Q12074,32,0,0,32,1,1,29,0,0,TRUE,FALSE,0.493334161,0.000635149
Q12514,3,3,3,3,3,3,3,3,3,FALSE,TRUE,0.195662195,4.78E-06
P40347,7,0,0,7,0,0,7,0,0,TRUE,FALSE,0.435427878,6.72E-05
P23254,118,6,5,115,5,4,98,5,4,FALSE,TRUE,0.511905939,0.000941335
P02994,211,24,20,194,27,23,147,18,16,FALSE,TRUE,0.229276618,2.02E-06
P20424,3,1,1,3,1,1,3,1,1,TRUE,FALSE,0.217475728,0.000249293
O13585,3,0,0,3,0,0,3,0,0,TRUE,FALSE,0.325598459,0.000332745
Q06839,1,1,1,1,1,1,1,1,1,FALSE,FALSE,0.217602217,0.00127368
P0C0W9,31,2,1,31,2,1,29,1,1,TRUE,FALSE,0.210865397,0.001210876
P30656,8,1,1,8,1,1,6,1,1,TRUE,FALSE,0.36533645,0.001126513
Q06103,6,0,0,6,0,0,5,0,0,TRUE,FALSE,0.347386924,0.000503072
P07703,11,5,8,11,6,8,10,4,7,FALSE,TRUE,0.187435771,0.002177475
Q06106,3,0,0,3,0,0,3,0,0,TRUE,FALSE,0.191024682,8.26E-06
Q06107,1,1,1,1,1,1,1,1,1,FALSE,FALSE,0.046861212,0.009181863
Q06489,10,1,1,10,1,1,10,1,1,TRUE,FALSE,0.404715983,0.001610795
Q06490,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.404715983,0.001610795
P49573,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.226982255,0.002865883
P45978,2,1,1,2,1,1,2,1,1,TRUE,FALSE,0.211440713,2.34E-05
Q06505,2,0,0,2,0,0,2,0,0,TRUE,FALSE,0.32403076,0.000974382
Q01454,3,0,0,3,0,0,3,0,0,TRUE,FALSE,0.321254204,4.90E-05
Q06506,2,1,1,2,1,1,2,1,1,TRUE,FALSE,0.15221654,0.003591971
Q06511,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.211634513,0.000823307
Q06512,3,0,0,3,0,0,3,0,0,TRUE,FALSE,0.141818615,0.001117449
P49089,28,2,2,28,2,2,25,2,2,FALSE,TRUE,0.548542089,0.006320221
Q12207,1,1,1,1,1,1,1,1,1,FALSE,FALSE,0.043554153,0.010695322
Q06449,7,0,0,7,0,0,7,0,0,TRUE,FALSE,0.58842872,0.027087594
P32486,5,0,0,5,0,0,5,0,0,TRUE,FALSE,0.237325412,0.000143607
P06738,2,0,0,2,0,0,2,0,0,TRUE,FALSE,0.413849518,0.000256676
P34167,21,1,0,21,1,0,20,1,0,TRUE,FALSE,0.306564186,0.000134165
Q06211,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.19003201,0.004168671
Q06214,4,2,2,4,2,2,4,2,2,FALSE,TRUE,0.212418649,3.65E-06
Q06608,3,0,0,3,0,0,3,0,0,TRUE,FALSE,0.420572178,0.000648638
P52917,2,1,1,2,1,1,2,1,1,TRUE,FALSE,0.393627253,0.000150824
P20133,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.388155435,0.030785353
Q06624,4,0,0,4,0,0,4,0,0,TRUE,FALSE,0.359221792,0.002209485
P15303,26,11,12,26,11,12,26,11,12,FALSE,TRUE,0.20537238,1.86E-07
P54999,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.406313436,0.000245272
P14020,4,4,4,4,4,4,4,4,4,FALSE,TRUE,0.102670715,9.34E-07
P20435,9,0,0,9,0,0,9,0,0,TRUE,FALSE,0.316241686,0.000550555
P17883,5,1,2,5,1,2,5,1,2,FALSE,TRUE,0.24801224,7.06E-07
P32349,2,1,1,2,1,1,2,1,1,TRUE,FALSE,0.279855057,0.000162414
P07257,13,2,2,13,2,2,13,2,2,FALSE,TRUE,0.450690833,0.001266398
O13547,2,0,0,2,0,0,2,0,0,TRUE,FALSE,0.601559427,0.006619132
P80967,1,0,1,1,0,1,1,0,1,FALSE,FALSE,0.080986829,0.018421811
P57743,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.301828378,0.000191379
P69771,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.243088726,0.001427839
P32445,6,0,0,6,0,0,4,0,0,TRUE,FALSE,0.291266757,0.003626413
