UniProt ID,No. of Valid Modified Peptides,No. of Significant Modified Peptides (P-value),No. of Significant Modified Peptides (Adj. P-value),No. of Valid Peptides,No. of Significant Peptides (P-value),No. of Significant Peptides (Adj. P-value),No. of Valid Cut Sites,No. of Significant Cut Sites (P-value),No. of Significant Cut Sites (Adj. P-value),Retained,Perturbed,S/T Avg,P-Value
P35691,28,0,0,28,0,0,22,0,0,TRUE,FALSE,0.313510297,0.000139314
P32774,1,0,1,1,0,1,1,0,1,FALSE,FALSE,0.409329677,0.000141787
P14540,191,1,0,177,4,0,117,1,0,TRUE,FALSE,0.278165277,0.000151336
P35725,2,0,1,2,0,1,2,0,1,TRUE,FALSE,0.166306639,1.98E-05
P36010,13,1,0,13,1,0,12,1,0,TRUE,FALSE,0.552239,6.80E-05
Q02629,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.24647858,0.000110364
P36088,2,0,0,2,0,0,2,0,0,TRUE,FALSE,0.58790687,0.014948724
P36016,5,0,0,5,0,0,5,0,0,TRUE,FALSE,0.330692726,0.001053269
P36009,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.14017519,0.001263776
P31412,29,0,0,29,0,0,28,0,0,TRUE,FALSE,0.368727031,0.001274144
P36008,79,4,0,79,7,0,69,4,0,TRUE,FALSE,0.324032992,0.001991938
P36080,3,1,2,3,1,2,3,1,2,FALSE,TRUE,0.26455971,0.000918931
P17505,16,0,0,16,0,0,14,0,0,TRUE,FALSE,0.595277812,0.000116363
P36076,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.412875771,0.000753123
P14904,10,1,0,10,1,0,10,1,0,TRUE,FALSE,0.380566411,0.000411398
P14742,42,0,0,42,0,0,40,0,0,TRUE,FALSE,0.404471962,0.001270616
Q01802,1,1,1,1,1,1,1,1,1,FALSE,FALSE,0.095453058,0.000381934
P34253,2,1,1,2,1,1,2,1,1,TRUE,FALSE,0.255037857,2.86E-05
P14164,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.295345388,0.000185166
P26793,3,0,0,3,0,0,3,0,0,TRUE,FALSE,0.25026918,1.51E-06
P22936,2,0,0,2,0,0,2,0,0,TRUE,FALSE,0.374405814,0.000359268
P28707,13,1,1,13,1,1,13,1,1,TRUE,FALSE,0.434951452,1.39E-05
P32342,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.246389416,1.61E-05
P12688,6,1,1,6,1,1,6,1,1,TRUE,FALSE,0.300722682,0.000729173
P33401,21,2,0,21,2,1,21,2,0,TRUE,FALSE,0.329326588,0.000799421
P36069,2,0,0,2,0,0,2,0,0,TRUE,FALSE,0.285469261,1.23E-06
P36006,2,0,0,2,0,0,2,0,0,TRUE,FALSE,0.254992373,3.01E-05
P36000,2,0,1,2,0,1,2,0,1,TRUE,FALSE,0.255662678,6.68E-05
P34163,1,0,1,1,0,1,1,0,1,FALSE,FALSE,0.266239082,0.003482869
P35719,10,0,0,10,0,0,9,0,0,TRUE,FALSE,0.46885683,0.000233088
P34078,4,2,4,4,2,4,3,1,3,FALSE,TRUE,0.122314814,2.25E-06
P35718,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.269812329,0.001368219
P33299,19,0,0,19,1,1,18,0,0,TRUE,FALSE,0.293214076,7.28E-05
P36060,2,0,0,2,0,0,2,0,0,TRUE,FALSE,0.330581994,0.00074382
P36059,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.379446615,0.001467435
P00950,108,15,0,107,15,0,82,12,3,TRUE,FALSE,0.417689855,0.002069558
P35997,7,0,0,7,0,0,7,0,0,TRUE,FALSE,0.247637958,0.002412323
P32454,31,0,0,31,0,0,27,0,0,TRUE,FALSE,0.367268142,0.000293125
P36053,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.256336283,4.38E-05
P36049,2,2,2,2,2,2,2,2,2,FALSE,TRUE,0.157100916,4.80E-07
P36048,1,1,1,1,1,1,1,1,1,FALSE,FALSE,0.20118184,8.17E-06
P34237,3,2,3,3,2,3,3,2,3,FALSE,TRUE,0.129264967,0.000518931
P05740,19,0,0,19,0,0,19,0,0,TRUE,FALSE,0.254405481,0.004529202
P32895,18,1,0,18,1,0,16,1,0,TRUE,FALSE,0.397771246,6.46E-05
P07149,221,10,0,218,8,0,194,9,0,TRUE,FALSE,0.358671133,0.000987286
P25296,2,0,0,2,0,0,2,0,0,TRUE,FALSE,0.253224774,0.012908254
P32461,2,0,0,2,0,0,2,0,0,TRUE,FALSE,0.28776915,1.49E-05
P32463,3,0,0,3,0,0,3,0,0,TRUE,FALSE,0.445471262,0.000901714
P36047,6,0,0,6,0,0,6,0,0,TRUE,FALSE,0.421716729,0.001981016
P36046,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.341737982,5.20E-05
P36015,4,0,0,4,0,0,4,0,0,TRUE,FALSE,0.367308223,3.75E-05
P36041,3,1,1,3,1,1,3,1,1,TRUE,FALSE,0.218551575,0.000660383
P36040,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.376583653,0.000261451
P22515,57,0,0,57,0,0,53,0,0,TRUE,FALSE,0.409967143,0.001433253
P00937,11,0,0,11,0,0,11,0,0,TRUE,FALSE,0.495564475,0.000237623
P36037,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.409266263,0.000286185
P28273,7,0,0,7,0,0,7,0,0,TRUE,FALSE,0.463992735,0.000229827
P28272,74,12,8,70,12,8,48,10,7,FALSE,TRUE,0.584843002,0.019907154
P21576,25,6,6,24,7,8,23,6,6,FALSE,TRUE,0.255354272,3.21E-05
P29468,6,1,0,6,1,0,6,1,0,TRUE,FALSE,0.266259226,6.31E-06
Q02201,3,0,0,3,0,0,3,0,0,TRUE,FALSE,0.357994198,0.000126365
Q02206,1,0,1,1,0,1,1,0,1,FALSE,FALSE,0.246839614,2.72E-05
P36018,2,0,0,2,0,0,2,0,0,TRUE,FALSE,0.268599955,3.56E-05
P36114,7,0,0,7,0,0,7,0,0,TRUE,FALSE,0.26721301,5.04E-06
P36116,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.229234136,1.21E-05
P36121,2,1,1,2,1,1,2,1,1,TRUE,FALSE,0.25055259,4.56E-07
P14741,3,0,0,3,0,0,3,0,0,TRUE,FALSE,0.271885688,1.59E-06
P36123,2,0,0,2,0,0,2,0,0,TRUE,FALSE,0.3237774,6.39E-05
P36124,1,1,1,1,1,1,1,1,1,FALSE,FALSE,0.209205036,5.35E-06
P36132,2,1,1,2,1,1,2,1,1,TRUE,FALSE,0.409653513,0.000526201
P36135,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.268624914,0.00424473
P36136,18,1,0,18,1,0,17,1,0,TRUE,FALSE,0.479902492,0.003985501
P25293,13,5,7,13,5,6,13,5,7,FALSE,TRUE,0.268216433,0.000293183
P10081,72,2,0,67,4,0,58,2,0,TRUE,FALSE,0.454480056,0.000661252
P36145,3,0,0,3,0,0,3,0,0,TRUE,FALSE,0.27984475,9.15E-05
P00431,9,0,0,9,0,0,9,0,0,TRUE,FALSE,0.451480313,0.000157391
P36149,1,1,1,1,1,1,1,1,1,FALSE,FALSE,0.24256533,9.83E-05
P36151,3,0,0,3,0,0,3,0,0,TRUE,FALSE,0.307948627,0.001084871
P36152,4,3,3,4,3,3,4,3,3,FALSE,TRUE,0.189027602,0.000256839
P36024,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.407473651,0.000575098
P36154,4,0,0,4,0,0,4,0,0,TRUE,FALSE,0.429765212,0.002127773
Q02046,5,0,0,5,0,0,5,0,0,TRUE,FALSE,0.550644527,0.00064955
P36160,5,4,4,5,4,4,5,4,4,FALSE,TRUE,0.216336938,0.00125777
P32769,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.323231603,3.53E-05
P32583,1,1,1,1,1,1,1,1,1,FALSE,FALSE,0.012199665,0.002691669
Q02455,4,0,0,4,0,0,4,0,0,TRUE,FALSE,0.361343467,0.000218102
P43555,1,1,1,1,1,1,1,1,1,FALSE,FALSE,0.129409957,0.000554033
P43556,1,1,1,1,1,1,1,1,1,FALSE,FALSE,0.192388847,6.50E-08
P07283,31,0,0,31,1,0,26,0,0,TRUE,FALSE,0.311554125,0.000122054
P60010,58,2,0,53,4,0,41,3,0,TRUE,FALSE,0.317696287,0.000290138
P01123,9,1,1,9,1,1,8,1,1,TRUE,FALSE,0.234881754,1.99E-06
P02557,23,13,17,23,11,17,20,12,15,FALSE,TRUE,0.150691497,3.80E-05
P43564,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.230493417,0.001208162
P43565,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.206612441,0.000450243
P43569,3,0,0,3,0,0,3,0,0,TRUE,FALSE,0.475388647,0.006318282
P43573,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.186582405,4.15E-06
P15625,36,0,0,36,1,0,34,0,0,TRUE,FALSE,0.416167901,7.94E-05
P09624,25,0,0,25,0,0,25,0,0,TRUE,FALSE,0.364316882,3.35E-06
P43577,6,0,0,6,0,0,6,0,0,TRUE,FALSE,0.541785864,0.008254461
P43582,3,0,0,3,0,0,3,0,0,TRUE,FALSE,0.421738764,0.002446159
P07834,1,1,1,1,1,1,1,1,1,FALSE,FALSE,0.302487991,2.70E-05
P43583,6,1,1,6,1,1,6,1,1,TRUE,FALSE,0.261152588,0.000222203
P07560,3,1,1,3,1,1,3,1,1,TRUE,FALSE,0.176725701,0.000574177
P43585,6,3,6,6,3,6,6,3,6,FALSE,TRUE,0.059412146,0.000125407
P25808,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.166093434,0.00258093
P43588,12,0,0,12,0,0,11,0,0,TRUE,FALSE,0.313656172,0.000102741
P43590,15,2,3,15,2,3,15,2,3,FALSE,TRUE,0.592663212,0.000721851
P43535,14,7,7,14,5,5,14,7,7,FALSE,TRUE,0.23689868,2.82E-05
P43593,9,0,0,9,0,0,8,0,0,TRUE,FALSE,0.408834371,0.001028914
P27466,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.416675402,0.000194009
P23337,1,0,1,1,0,1,1,0,1,FALSE,FALSE,0.340802485,0.000485051
P38635,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.747354264,0.106571737
Q00684,2,2,2,2,2,2,2,2,2,FALSE,TRUE,0.062623728,0.000691234
P39692,4,0,0,4,0,0,4,0,0,TRUE,FALSE,0.303766861,3.49E-05
P43609,3,1,1,3,1,1,3,1,1,TRUE,FALSE,0.251839331,2.50E-05
P43612,3,1,1,3,1,1,3,1,1,TRUE,FALSE,0.399039966,0.000605677
P43616,51,0,0,51,0,0,47,0,0,TRUE,FALSE,0.45381006,0.000308461
P43619,3,0,0,3,0,0,3,0,0,TRUE,FALSE,0.483589294,0.001588508
P30657,11,0,0,9,0,0,6,0,0,TRUE,FALSE,0.433250319,0.006554048
P43621,11,1,0,11,1,0,10,1,0,TRUE,FALSE,0.299777971,1.47E-05
P32496,12,0,0,12,1,0,10,0,0,TRUE,FALSE,0.305270405,1.86E-05
P04806,19,0,0,19,0,0,17,0,0,TRUE,FALSE,0.424955898,0.000256539
P48836,7,0,0,7,0,0,7,0,0,TRUE,FALSE,0.484695406,0.000337717
P0CX45,53,0,0,52,0,0,34,0,0,TRUE,FALSE,0.214796185,0.01065301
Q05359,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.097712712,0.000135431
P0CX82,22,1,1,22,1,1,14,1,1,TRUE,FALSE,0.214796185,0.01065301
P11633,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.328933194,2.13E-05
Q12165,2,0,0,2,0,0,2,0,0,TRUE,FALSE,0.23376082,1.97E-05
Q12124,1,0,1,1,0,1,1,0,1,FALSE,FALSE,0.17446537,0.003426456
P40327,14,0,0,14,0,0,13,0,0,TRUE,FALSE,0.301346726,6.62E-05
P15646,20,12,15,19,9,12,18,11,14,FALSE,TRUE,0.074350105,2.37E-05
Q00055,22,0,0,22,0,0,16,0,0,TRUE,FALSE,0.416978891,0.002277647
P32381,19,1,0,19,1,0,19,1,0,TRUE,FALSE,0.359488438,0.000338945
Q12389,2,0,0,2,0,0,2,0,0,TRUE,FALSE,0.180975548,5.90E-07
P12945,23,2,2,23,3,3,22,2,2,FALSE,TRUE,0.282092137,4.11E-05
Q12408,4,0,0,4,0,0,4,0,0,TRUE,FALSE,0.866133417,0.309891787
P20604,2,0,0,2,0,0,2,0,0,TRUE,FALSE,0.410587129,2.85E-05
P33399,8,0,1,8,2,4,7,0,1,FALSE,TRUE,0.239236956,5.05E-06
P33333,1,1,1,1,1,1,1,1,1,FALSE,FALSE,0.063040614,0.000128567
P41940,76,4,0,73,4,0,61,4,0,TRUE,FALSE,0.398284695,4.76E-05
P25386,8,0,0,8,0,0,8,0,0,TRUE,FALSE,0.368404218,0.000171337
Q07381,14,0,0,14,0,0,14,0,0,TRUE,FALSE,0.2926827,0.000127313
P41058,2,0,0,2,0,0,2,0,0,TRUE,FALSE,0.19209038,0.006369436
Q07395,2,1,1,2,1,1,2,1,1,TRUE,FALSE,0.322919226,0.00018309
P50623,3,0,0,3,0,0,3,0,0,TRUE,FALSE,0.436394895,0.000302811
P21954,34,0,0,34,0,0,30,0,0,TRUE,FALSE,0.481384264,0.003003828
Q07457,2,1,1,2,1,1,2,1,1,TRUE,FALSE,0.275845181,0.000178653
P0C2H8,17,2,1,17,2,1,13,2,1,TRUE,FALSE,0.25287823,0.000288481
P32419,13,4,8,13,4,8,13,4,8,FALSE,TRUE,0.139835391,3.11E-06
P05318,11,0,0,11,0,0,9,0,0,TRUE,FALSE,0.331812869,0.067123719
Q12690,4,0,0,4,0,0,4,0,0,TRUE,FALSE,0.247681727,8.03E-05
Q07478,54,1,0,53,0,0,47,0,0,TRUE,FALSE,0.372962004,0.000198975
Q07505,11,0,0,11,0,0,11,0,0,TRUE,FALSE,0.45410152,0.00515366
P22007,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.374746989,0.000859976
P38985,2,0,0,2,0,0,2,0,0,TRUE,FALSE,0.220386768,2.41E-07
Q12377,11,1,1,11,1,1,11,1,1,TRUE,FALSE,0.351893518,0.000624379
Q12154,13,1,0,13,1,0,12,1,0,TRUE,FALSE,0.329714104,0.000492178
P39009,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.251986382,5.40E-05
P15436,2,1,1,2,1,1,2,1,1,TRUE,FALSE,0.214907892,0.000291591
P43123,13,1,0,13,1,0,13,1,0,TRUE,FALSE,0.365218888,2.04E-05
Q12513,2,1,1,2,1,1,2,1,1,TRUE,FALSE,0.555596346,0.04424227
Q12277,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.303038826,0.022759482
Q07527,8,1,1,8,1,1,8,1,1,TRUE,FALSE,0.294822584,1.42E-05
Q07540,3,0,0,3,0,0,3,0,0,TRUE,FALSE,0.44381288,0.000889672
P25037,2,0,0,2,0,0,2,0,0,TRUE,FALSE,0.317629937,0.000522074
Q07551,15,0,0,15,0,0,14,0,0,TRUE,FALSE,0.430017389,0.000152598
Q04344,15,5,8,15,5,8,15,5,8,FALSE,TRUE,0.815064333,0.029745025
P25694,66,4,0,66,4,0,56,4,0,TRUE,FALSE,0.462356497,0.000360948
P10622,16,1,1,16,1,1,14,1,1,TRUE,FALSE,0.190294163,0.01886926
Q12122,37,1,0,37,1,0,33,1,0,TRUE,FALSE,0.507603713,0.00073044
Q12018,4,0,0,4,0,0,4,0,0,TRUE,FALSE,0.266841386,5.10E-05
P23594,5,0,0,5,0,0,5,0,0,TRUE,FALSE,0.399203977,0.00192763
Q12434,7,0,0,7,0,0,7,0,0,TRUE,FALSE,0.441576713,0.001401436
P19146,3,0,0,3,0,0,3,0,0,TRUE,FALSE,0.361307451,0.00041183
P04050,34,3,3,34,3,4,32,3,3,FALSE,TRUE,0.270495267,4.88E-05
P48445,4,0,0,4,0,0,4,0,0,TRUE,FALSE,0.384625015,0.000926002
P39078,19,0,0,19,2,1,19,0,0,TRUE,FALSE,0.299932904,0.000516891
Q07589,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.557898574,0.002105361
P53622,26,1,1,26,1,1,26,1,1,TRUE,FALSE,0.260318131,3.48E-05
Q12250,13,0,0,13,0,0,13,0,0,TRUE,FALSE,0.358563355,0.000627579
Q99207,8,5,6,8,5,6,8,5,6,FALSE,TRUE,0.141451812,0.00117186
Q12136,2,2,2,2,2,2,2,2,2,FALSE,TRUE,0.12720232,0.002019285
P39517,13,5,5,13,5,5,11,5,5,FALSE,TRUE,0.199431324,0.002278975
Q12518,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.458748303,0.000274276
P06100,3,1,2,3,1,2,3,1,2,FALSE,TRUE,0.144943368,0.001135001
Q12055,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.229725448,0.000162688
P32770,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.187824165,7.84E-08
P32771,10,2,2,10,3,3,10,2,2,FALSE,TRUE,0.40551126,0.000589596
Q12680,72,1,0,72,1,0,68,1,0,TRUE,FALSE,0.389593501,0.000680297
Q12515,2,2,2,2,2,2,2,2,2,FALSE,TRUE,0.144225554,0.004222094
P46681,5,0,0,5,0,0,5,0,0,TRUE,FALSE,0.415143821,6.13E-05
P48570,4,0,0,4,0,0,4,0,0,TRUE,FALSE,0.393275988,0.001256713
P17255,124,3,0,124,4,1,105,5,0,TRUE,FALSE,0.331300344,0.000521424
P23595,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.303781562,0.000236513
P54860,5,0,0,5,0,0,5,0,0,TRUE,FALSE,0.312733342,6.13E-05
P0CX84,11,0,0,11,0,0,11,0,0,TRUE,FALSE,0.214796185,0.01065301
P11076,16,0,0,16,0,0,15,0,0,TRUE,FALSE,0.355558194,0.004913542
P38968,33,5,5,33,5,5,32,5,5,FALSE,TRUE,0.268927815,1.81E-06
Q12009,5,1,1,5,1,1,5,1,1,TRUE,FALSE,0.334512572,0.000461931
P28789,6,0,1,6,0,1,6,0,1,TRUE,FALSE,0.618390212,0.002956246
P32495,4,4,4,4,4,4,4,4,4,FALSE,TRUE,0.153549736,0.002646053
Q07623,3,1,1,3,1,1,3,1,1,TRUE,FALSE,0.14428965,0.000430051
P33327,2,0,0,2,0,0,2,0,0,TRUE,FALSE,0.4067447,2.36E-05
Q07648,3,0,0,3,0,0,3,0,0,TRUE,FALSE,0.396417017,0.002153702
Q07657,5,1,1,5,1,1,5,1,1,TRUE,FALSE,0.29360004,0.000437448
P35197,5,0,1,5,0,1,5,0,1,TRUE,FALSE,0.235822085,1.00E-06
P11484,10,0,0,10,0,0,7,0,0,TRUE,FALSE,0.348076937,0.001427792
P25044,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.2794881,9.27E-05
Q07688,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.263168111,0.007115517
P19881,15,0,0,15,0,0,15,0,0,TRUE,FALSE,0.562058519,0.002563802
Q07716,2,0,0,2,0,0,2,0,0,TRUE,FALSE,0.393190289,0.000487303
P32356,10,1,0,10,1,0,10,1,0,TRUE,FALSE,0.28624054,0.000139824
P41920,10,0,1,10,2,5,10,0,1,FALSE,TRUE,0.460405866,0.002429408
P40317,2,0,0,2,0,0,2,0,0,TRUE,FALSE,0.298206556,0.004395667
P00912,2,0,1,2,0,1,2,0,1,TRUE,FALSE,0.433729282,0.014885938
P48015,8,2,2,8,2,2,8,2,2,FALSE,TRUE,0.598700284,0.000627368
P07284,71,3,1,71,3,1,60,2,1,TRUE,FALSE,0.487782379,0.000570828
P0CX47,22,4,4,22,4,4,20,4,4,FALSE,TRUE,0.214796185,0.01065301
Q00816,2,0,0,2,0,0,2,0,0,TRUE,FALSE,0.335118519,9.75E-05
Q12335,6,0,0,6,0,0,6,0,0,TRUE,FALSE,0.336930221,0.000412299
Q12117,2,1,2,2,1,2,2,1,2,FALSE,TRUE,0.099683538,0.001927789
P14843,17,1,0,17,1,0,16,1,0,TRUE,FALSE,0.678313272,0.006071936
P15180,68,0,0,68,2,1,54,1,0,TRUE,FALSE,0.399839228,7.37E-05
P11353,12,2,2,12,2,2,12,2,2,FALSE,TRUE,0.383967494,0.000172619
Q04307,1,0,1,1,0,1,1,0,1,FALSE,FALSE,0.214607205,8.54E-05
P32347,8,0,0,8,0,0,8,0,0,TRUE,FALSE,0.484209865,0.00072843
P00942,97,3,1,97,3,1,71,3,1,TRUE,FALSE,0.455464786,0.003281342
Q99288,2,0,0,2,0,0,2,0,0,TRUE,FALSE,0.344400726,1.68E-05
P14682,2,0,0,2,0,0,2,0,0,TRUE,FALSE,0.28370568,0.003416892
Q12176,4,1,1,4,1,1,4,1,1,TRUE,FALSE,0.147901931,0.001578125
Q12298,2,0,0,2,0,0,2,0,0,TRUE,FALSE,0.270563986,0.000267865
Q12156,1,0,1,1,0,1,1,0,1,FALSE,FALSE,0.433983566,0.004937244
P05756,29,4,4,29,10,12,24,2,2,FALSE,TRUE,0.237835686,0.009064686
Q12447,16,0,0,16,0,0,16,0,0,TRUE,FALSE,0.406512076,0.000160757
P31688,7,0,0,7,0,0,6,0,0,TRUE,FALSE,0.356500188,2.17E-05
P32345,4,1,1,4,1,1,4,1,1,TRUE,FALSE,0.33837807,0.00028043
P38961,1,0,1,1,0,1,1,0,1,FALSE,FALSE,0.173313153,4.81E-05
P35179,1,1,1,1,1,1,1,1,1,FALSE,FALSE,0.02398958,0.00636326
P35178,4,1,1,3,1,2,3,1,2,FALSE,TRUE,0.167342105,0.002310061
Q03195,26,0,0,26,0,0,26,0,0,TRUE,FALSE,0.339896963,1.07E-05
P52490,4,0,0,4,0,0,4,0,0,TRUE,FALSE,0.434146124,0.003619009
Q03834,5,1,1,5,1,1,5,1,1,TRUE,FALSE,0.265060952,4.17E-06
Q03835,4,0,0,4,0,0,3,0,0,TRUE,FALSE,0.354180723,0.014771685
P34730,4,0,0,4,1,2,4,0,0,FALSE,TRUE,0.655214942,0.000702095
Q03862,18,1,1,18,4,5,18,1,1,FALSE,TRUE,0.269952704,9.24E-05
Q04599,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.188683554,0.000168395
P15565,4,1,1,4,1,1,4,1,1,TRUE,FALSE,0.218328865,5.44E-06
P08566,55,2,1,55,5,1,53,2,1,TRUE,FALSE,0.300344134,0.000389293
P32599,10,4,6,10,0,1,10,4,6,TRUE,FALSE,0.221842823,1.00E-05
P39109,3,1,1,3,1,1,3,1,1,TRUE,FALSE,0.073485268,0.000229056
P17629,2,0,0,2,0,0,2,0,0,TRUE,FALSE,0.277004872,7.69E-06
Q03919,2,0,1,2,0,1,2,0,1,TRUE,FALSE,0.436205395,0.004630777
Q03921,3,2,3,3,2,3,3,2,3,FALSE,TRUE,0.117308504,0.001268801
P22470,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.169565767,0.002037323
Q03761,1,1,1,1,1,1,1,1,1,FALSE,FALSE,0.154810329,5.02E-07
P19262,5,0,0,5,0,0,5,0,0,TRUE,FALSE,0.295514097,0.000114055
Q00402,3,2,3,3,1,3,3,2,3,FALSE,TRUE,0.118889359,0.011877895
P14832,39,0,0,37,1,0,31,0,0,TRUE,FALSE,0.365630981,8.91E-05
P13663,43,0,0,43,0,0,37,0,0,TRUE,FALSE,0.625176722,0.000169575
Q03771,5,1,2,5,1,2,5,1,2,FALSE,TRUE,0.227528741,0.00052493
Q12163,2,1,1,2,1,1,2,1,1,TRUE,FALSE,0.263179563,0.000214658
P30619,2,0,2,2,0,2,2,0,2,FALSE,TRUE,0.12421558,0.000965434
Q03774,8,0,0,8,0,0,8,0,0,TRUE,FALSE,0.374815878,0.001293094
Q12030,1,1,1,1,1,1,1,1,1,FALSE,FALSE,0.147100673,0.005714579
P06101,11,2,2,11,2,2,10,2,2,FALSE,TRUE,0.472910904,0.001052122
P11075,17,3,3,17,3,3,17,3,3,FALSE,TRUE,0.246560014,0.000173059
P05453,19,4,4,19,4,4,19,4,4,FALSE,TRUE,0.217540153,0.000370599
Q03973,2,1,1,2,0,0,2,1,1,TRUE,FALSE,0.133735442,2.32E-06
P21734,6,0,0,6,0,0,6,0,0,TRUE,FALSE,0.556453965,0.001986087
Q04007,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.25122787,0.000122498
P39079,10,1,1,10,1,1,10,1,1,TRUE,FALSE,0.314930624,2.22E-05
P22213,1,0,1,1,0,1,1,0,1,FALSE,FALSE,0.169668752,7.58E-05
Q03940,14,0,0,14,0,0,14,0,0,TRUE,FALSE,0.260203239,0.000259546
P15424,2,1,2,2,1,2,2,1,2,FALSE,TRUE,0.162848713,3.30E-07
Q03954,2,2,2,2,2,2,2,2,2,FALSE,TRUE,0.313817915,0.016911741
P39001,1,0,1,1,0,1,1,0,1,FALSE,FALSE,0.203400506,0.000449252
P32501,8,1,1,8,1,1,8,1,1,TRUE,FALSE,0.289501441,6.00E-05
P12612,28,1,1,28,1,1,25,1,1,TRUE,FALSE,0.31999839,1.72E-05
Q12449,9,0,0,9,0,0,9,0,0,TRUE,FALSE,0.347803061,0.0001598
P02293,7,1,1,7,1,1,7,1,1,TRUE,FALSE,0.157585327,0.007151218
P04911,13,5,6,13,5,6,11,4,4,FALSE,TRUE,0.01832912,0.001364081
P07170,40,3,3,37,3,3,32,3,3,FALSE,TRUE,0.556547825,0.002031337
P09950,8,2,2,8,2,2,7,1,1,FALSE,TRUE,0.169557056,0.000790646
Q04947,6,2,2,6,2,2,4,2,2,FALSE,TRUE,0.140278636,2.13E-07
P49367,5,0,0,5,0,0,5,0,0,TRUE,FALSE,0.369915787,4.19E-05
P41810,27,2,1,27,1,0,27,2,1,TRUE,FALSE,0.273571699,6.22E-05
P37304,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.200786242,0.000629205
P33416,4,0,0,4,0,0,4,0,0,TRUE,FALSE,0.446374906,0.00012357
P52911,2,0,0,2,0,0,2,0,0,TRUE,FALSE,0.155654955,1.47E-06
P39010,2,1,1,2,1,1,2,1,1,TRUE,FALSE,0.142520683,0.000362704
Q05583,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.379328924,0.008539133
Q05584,10,1,2,10,1,2,9,2,3,FALSE,TRUE,0.71126255,0.000717411
Q05636,3,0,0,3,0,0,3,0,0,TRUE,FALSE,0.299919022,0.000576911
Q05543,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.241305546,0.003053843
P24276,8,1,1,8,1,1,8,1,1,TRUE,FALSE,0.196606628,1.55E-05
P09457,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.195572514,0.001589435
Q06631,3,1,2,3,1,2,3,1,2,FALSE,TRUE,0.197522596,0.003392773
P32264,12,0,0,12,0,0,11,0,0,TRUE,FALSE,0.413265707,3.55E-05
Q06632,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.172807305,6.41E-06
P35176,13,2,2,13,2,2,11,2,2,FALSE,TRUE,0.728716186,0.008668025
P32776,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.205692217,0.000507464
Q12153,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.239605087,0.008700295
P38986,13,1,1,13,1,1,11,1,1,TRUE,FALSE,0.421706102,0.000272626
Q06679,2,1,1,2,1,1,2,1,1,TRUE,FALSE,0.113604522,0.000398882
P52286,9,0,0,9,0,0,9,0,0,TRUE,FALSE,0.363380862,1.28E-05
Q06682,3,0,0,3,0,0,3,0,0,TRUE,FALSE,0.446609265,0.009293182
P52918,3,1,1,3,1,1,3,1,1,TRUE,FALSE,0.334171333,5.48E-05
Q05498,2,1,2,2,1,2,2,1,2,FALSE,TRUE,0.117224931,0.002598499
Q05506,64,1,0,63,1,0,57,1,0,TRUE,FALSE,0.415751607,0.000301615
